Ev(kJ/mol),Rv(A),x,y,z
-6.570519106217863,4.085,12.339,14.379,2.481
-10.121815810565613,2.295,21.902,18.195,15.108
-3.8445024515510893,4.789,11.287,14.978,0.86
-7.648398775310735,3.586,21.986,19.573,13.963
-3.979019524761005,4.575,11.472,14.884,0.107
-6.418394342513356,3.452,12.567,14.274,0.253
-4.781954200934321,4.401,21.078,20.084,14.22
-14.29639653520911,2.547,23.152,18.884,13.967
-9.570840739466131,2.748,13.296,13.838,0.723
-12.43367803367364,2.907,22.814,19.074,13.755
-9.811782009366397,2.945,22.534,19.274,14.448
-12.509399340597431,2.543,22.984,19.007,14.431
-3.8462616380616588,4.714,11.347,14.955,0.592
-3.8911385360184747,4.663,11.394,14.933,0.496
-5.589366451170223,4.096,21.388,19.9,14.079
-10.684907956076273,1.992,22.173,17.81,14.331
-12.186911842681152,3.054,22.726,19.124,13.573
-5.657091419160275,3.915,21.3,19.628,14.221
-6.73164542449273,3.823,21.736,19.709,13.944
-8.647867899007597,3.479,22.158,19.467,13.783
-5.807055542927048,4.059,21.465,19.867,14.056
-7.432280022229285,3.673,21.915,19.615,13.897
-21.68168071391493,2.227,24.173,18.123,13.01
-21.41556345039051,2.191,24.183,18.072,13.008
-20.19809234163252,2.082,24.308,17.914,12.998
-21.620376767827427,2.213,24.188,18.101,13.006
-19.209906134379487,2.583,23.62,18.632,13.175
-19.385608057477825,2.572,23.641,18.614,13.162
-21.361384104557974,2.250,24.031,18.18,13.051
-18.304148052487992,2.625,23.478,18.672,13.21
-16.139882649159656,2.769,23.221,18.852,13.324
-19.006670456624384,2.598,23.587,18.645,13.178
-18.767810097191177,2.613,23.558,18.666,13.191
-17.237487899712107,2.199,16.209,10.134,4.16
-17.255026539696757,2.265,17.252,8.259,4.0
-17.352315181024128,2.278,16.457,9.839,4.295
-17.398868259873716,2.360,17.251,8.206,4.087
-17.39505176191984,2.376,17.251,8.249,4.119
-17.33966993253082,2.258,16.532,9.682,4.291
-17.401192719657658,2.379,17.21,8.347,4.166
-17.165699424241588,2.360,16.729,9.52,4.385
-17.200173051948127,2.349,16.699,9.555,4.376
-17.215385429358594,2.187,16.659,9.327,4.227
-17.3261697181919,2.251,17.034,8.553,4.134
-17.306499887857758,2.221,16.768,9.162,4.242
-17.256399907937432,2.337,16.822,9.291,4.354
-17.41470783270026,2.355,17.191,8.328,4.14
-17.389956746068542,2.334,17.213,8.223,4.076
-17.349044219701167,2.403,15.848,10.756,4.191
-17.24736870297248,2.299,15.575,10.914,3.983
-17.18595363009625,2.281,15.578,10.879,3.979
-9.804784319215466,3.453,17.709,9.417,5.564
-14.238255989979274,2.308,17.414,10.732,4.397
